triplet_id	rank	assigned_category	n_significant	significant_tests	signature	cluster	k_mer_q	positional_q	bpe_boundary_q	attention_sink_q	high_norm_q	attention_r	hidden_norm_r	kmer_best_k	kmer_mi_nats	positional_ks
T011	11	k-mer	3	k-mer;positional;attention-sink	k-mer+positional+attention-sink	attention-sink subset	0.0014608080575097065	0.0014608080575097065	0.23231102895154362	0.0014608080575097065	1.0	0.9214411585243024	-0.6968635309345005	3	0.01127365121298082	0.9836956523358822
T012	12	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.007211584081377034	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.0014137038527796048	0.01771517290374234	5	0.014316311312635761	0.29061948537826543
T013	13	high-norm	2	positional;high-norm	positional+high-norm	positional+high-norm	0.07517074795935366	0.010296056790881667	0.573543873224678	1.0	0.0014608080575097065	-0.009958420889201328	0.020392709317979332	3	0.008352797402027292	0.17025212287902836
T014	14	positional	2	positional;high-norm	positional+high-norm	positional+high-norm	0.12111291293128945	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.002479417037151021	0.011706498823659366	5	0.014160296779542659	0.2152212405204773
T015	15	k-mer	2	k-mer;positional	k-mer+positional	kmer-dominant mixed	0.0014608080575097065	0.0014608080575097065	1.0	1.0	0.07831135978402552	-0.002171742085540551	0.006710147372787564	3	0.008801657078267818	0.3263981175422669
T016	16	high-norm	2	k-mer;high-norm	k-mer+high-norm	kmer-dominant mixed	0.00513256885070978	0.26622202917232973	1.0	0.3253003128065597	0.0014608080575097065	0.002073647678551925	0.015157784344659383	5	0.014316311312635553	0.11225130796432498
T017	17	k-mer	4	k-mer;positional;bpe-boundary;high-norm	k-mer+positional+bpe-boundary+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.0014608080575097065	0.007211584081377034	1.0	0.0014608080575097065	-0.003979627067961092	0.026053321330536193	3	0.012109023811879128	0.3295983898639679
T018	18	k-mer	3	k-mer;positional;attention-sink	k-mer+positional+attention-sink	attention-sink subset	0.0014608080575097065	0.0014608080575097065	1.0	0.0014608080575097065	1.0	0.914002738749378	-0.707174116301092	3	0.011229589561301002	0.9852941175922751
T019	19	k-mer	2	k-mer;positional	k-mer+positional	kmer-dominant mixed	0.003902158509786203	0.003902158509786203	0.7632443320324571	1.0	0.38146144319144776	-0.001113141309936084	0.0028725855577593135	3	0.008598435593155672	0.1904724550247192
T020	20	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0027927212864156154	0.0014608080575097065	0.3621640507180038	1.0	0.003902158509786203	-0.003499398494093003	0.01207020692697275	3	0.00873562720718702	0.4113541567325592
T021	21	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.01228797366022871	0.0014608080575097065	0.4795501408959386	1.0	0.003902158509786203	-0.0011090196661441888	0.01500985371367884	5	0.014299050388288444	0.5365178656578063
T022	22	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.022659124982963064	1.0	1.0	0.0014608080575097065	-0.001630185447935714	0.022980933667079918	3	0.009618529818683226	0.15738853693008426
